[14/01/2026 13:58:29.311 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[14/01/2026 13:58:29.312 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=PUT | endpoint=/api/v1/despesas/390/pagar 
[14/01/2026 13:58:29.322 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.controller.DespesaController                    ] Requisição PUT em /api/v1/despesas/{id}/pagar, pagarDespesa 
[14/01/2026 13:58:29.322 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.controller.DespesaController                    ] ID informado para pagamento: 390 
[14/01/2026 13:58:29.322 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.controller.DespesaController                    ] Pagamento Request: com.example.orcamento.controller.DespesaController$PagamentoRequest@18f01e98 
[14/01/2026 13:58:29.326 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.service.MovimentacaoService                     ] Registrando movimentação: Movimentacao(id=null, tenantId=null, tipo=SAIDA, valor=234.37, dataCadastro=2026-01-14T13:58:29.326358, dataRecebimento=2026-01-12, descricao=Pagamento de Consórcio Banco Inter, contaCorrente=ContaCorrente(id=1, agencia=7028, numeroConta=005620-3, banco=341, nomeBanco=Banco Itaú, saldo=-15481.34, usuarioId=null, tenantId=06660607625, contaAtiva=true), despesa=Despesa(id=390, nome=Consórcio Banco Inter, tenantId=06660607625, valorPrevisto=234.37, valorPago=234.37, dataVencimento=2026-01-12, dataPagamento=2026-01-12, parcela=34, detalhes=Parcela 34/84 - Consórcio Banco Inter, contaCorrente=ContaCorrente(id=1, agencia=7028, numeroConta=005620-3, banco=341, nomeBanco=Banco Itaú, saldo=-15481.34, usuarioId=null, tenantId=06660607625, contaAtiva=true), metaEconomia=null, despesaParceladaId=null, subcategoria=SubcategoriaDespesa(id=103, nome=Consórcio, tenantId=null, tiposDespesa=[TipoDespesa(id=42, nome=Consórcio, tenantId=06660607625)]), classificacao=NECESSARIO, variabilidade=FIXO, formaDePagamento=DEBITO_EM_CONTA, anexo=null), receita=null) 
[14/01/2026 13:58:29.330 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.service.MovimentacaoService                     ] Entrada: false 
[14/01/2026 13:58:29.332 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.service.ContaCorrenteService                    ] Conta corrente atualizada com ID: ContaCorrente(id=1, agencia=7028, numeroConta=005620-3, banco=341, nomeBanco=Banco Itaú, saldo=-15481.34, usuarioId=null, tenantId=06660607625, contaAtiva=true) 
[14/01/2026 13:58:29.333 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.service.ContaCorrenteService                    ] Novo saldo : -15715.71 
[14/01/2026 13:58:29.344 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [INFO ] [com.example.orcamento.service.DespesaService                          ] Despesa não está associada a uma meta ou subcategoria. Nenhuma meta foi atualizada. 
[14/01/2026 14:30:42.882 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/lancamentos-cartao/com-compra 
[14/01/2026 14:30:42.884 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[14/01/2026 14:30:42.884 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/lancamentos-cartao/com-compra 
[14/01/2026 14:30:42.957 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-10            ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: POST /api/v1/auth/refresh 
[14/01/2026 14:30:42.958 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-10            ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[14/01/2026 14:30:42.958 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-10            ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=POST | endpoint=/api/v1/auth/refresh 
[14/01/2026 14:30:43.068 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-8             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/lancamentos-cartao/com-compra 
[14/01/2026 14:30:43.069 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-8             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[14/01/2026 14:30:43.069 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-8             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/lancamentos-cartao/com-compra 
[14/01/2026 14:30:43.076 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-8             ] [INFO ] [com.example.orcamento.controller.LancamentoCartaoController           ] Requisição GET em /api/v1/lancamentos-cartao/com-compra 
[14/01/2026 14:30:43.362 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/cartoes-credito 
[14/01/2026 14:30:43.362 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[14/01/2026 14:30:43.362 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/cartoes-credito 
[14/01/2026 14:30:43.370 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [INFO ] [com.example.orcamento.controller.CartaoCreditoController              ] Requisição GET em /api/v1/cartoes-credito, listarCartoes 
[14/01/2026 14:30:43.387 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/tipos-despesa 
[14/01/2026 14:30:43.388 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
